0.00E+00	1.27E-06	-1.27E-06	2.55E-05	-1.06E-11
2.00E-02	3.49E-04	3.49E-04	2.00E-02	2.90E-09
4.00E-02	7.22E-04	7.22E-04	4.00E-02	5.99E-09
6.00E-02	1.15E-03	1.15E-03	6.00E-02	9.55E-09
8.00E-02	1.71E-03	1.71E-03	8.00E-02	1.42E-08
1.00E-01	2.34E-03	2.34E-03	1.00E-01	1.94E-08
1.20E-01	3.16E-03	3.16E-03	1.20E-01	2.62E-08
1.40E-01	4.13E-03	4.13E-03	1.40E-01	3.43E-08
1.60E-01	5.38E-03	5.38E-03	1.60E-01	4.46E-08
1.80E-01	6.95E-03	6.95E-03	1.80E-01	5.77E-08
2.00E-01	8.87E-03	8.87E-03	2.00E-01	7.36E-08
2.20E-01	1.12E-02	1.12E-02	2.20E-01	9.27E-08
2.40E-01	1.41E-02	1.41E-02	2.40E-01	1.17E-07
2.60E-01	1.75E-02	1.75E-02	2.60E-01	1.46E-07
2.80E-01	2.16E-02	2.16E-02	2.80E-01	1.79E-07
3.00E-01	2.65E-02	2.65E-02	3.00E-01	2.20E-07
3.20E-01	3.22E-02	3.22E-02	3.20E-01	2.67E-07
3.40E-01	3.91E-02	3.91E-02	3.40E-01	3.24E-07
3.60E-01	4.70E-02	4.70E-02	3.60E-01	3.90E-07
3.80E-01	5.61E-02	5.61E-02	3.80E-01	4.65E-07
4.00E-01	6.69E-02	6.69E-02	4.00E-01	5.55E-07
4.20E-01	7.89E-02	7.89E-02	4.20E-01	6.54E-07
4.40E-01	9.39E-02	9.39E-02	4.40E-01	7.79E-07
4.60E-01	1.09E-01	1.09E-01	4.60E-01	9.07E-07
4.80E-01	1.27E-01	1.27E-01	4.80E-01	1.05E-06
5.00E-01	1.46E-01	1.46E-01	5.00E-01	1.21E-06
5.20E-01	1.67E-01	1.67E-01	5.20E-01	1.38E-06
5.40E-01	1.90E-01	1.90E-01	5.40E-01	1.58E-06
5.60E-01	2.17E-01	2.17E-01	5.60E-01	1.80E-06
5.80E-01	2.45E-01	2.45E-01	5.80E-01	2.03E-06
